Attendance,Study_Hours,Assignment_Score,Internal_Marks,Previous_GPA,Participation,Result
71,7,79,51,9.18,2,1
77,8,76,57,7.11,3,1
51,1,75,60,6.88,1,0
91,7,63,41,4.15,6,1
94,5,70,48,6.05,6,1
55,5,45,41,6.28,1,0
77,2,41,43,6.39,3,0
77,2,59,82,7.48,5,1
93,7,67,93,7.2,3,1
93,6,50,73,7.65,10,1
69,7,43,52,8.59,3,1
79,2,54,93,8.88,10,1
60,5,45,51,8.31,3,1
77,3,93,48,9.73,5,1
74,7,88,65,4.11,5,1
88,5,69,58,5.17,4,1
82,3,95,94,4.05,1,1
50,3,77,79,7.88,5,1
76,2,90,37,9.39,10,1
62,7,96,71,5.46,5,1
90,4,41,77,9.56,4,1
52,1,54,74,4.36,6,0
88,2,50,89,9.61,10,1
55,2,47,73,6.11,4,0
57,4,65,49,4.61,7,0
76,1,90,38,6.92,7,0
58,5,84,59,5.54,2,1
86,6,83,47,5.71,3,1
82,7,44,67,5.84,1,1
100,6,45,50,8.82,8,1
91,5,65,76,7.23,9,1
93,8,93,100,5.87,4,1
73,2,43,89,7.66,6,1
64,1,58,76,8.3,9,0
81,2,59,68,5.64,6,0
81,3,72,64,6.48,9,1
73,2,59,47,4.73,4,0
90,2,88,47,5.09,8,1
98,5,51,52,8.09,9,1
98,5,86,66,5.09,4,1
61,5,40,73,7.15,5,1
88,6,65,80,8.25,8,1
51,3,53,63,4.64,10,0
52,8,77,96,7.4,6,1
98,8,76,96,5.54,7,1
86,5,50,91,9.78,3,1
98,1,75,50,6.9,7,0
66,6,52,90,8.84,8,1
98,4,82,44,7.3,10,1
51,1,42,64,4.26,6,0
51,7,72,59,7.8,10,1
77,7,45,39,9.71,9,1
72,1,89,99,7.61,6,1
86,5,95,83,8.92,9,1
81,4,49,37,9.31,4,1
82,4,44,79,5.37,8,1
50,6,62,48,5.27,4,1
68,4,49,64,7.67,2,1
51,7,83,52,6.47,10,1
93,3,41,96,9.04,9,1
75,5,52,71,9.4,5,1
81,4,79,59,6.12,4,1
55,6,41,82,5.42,2,1
81,7,59,99,8.68,1,1
53,3,40,87,5.65,7,0
60,2,76,49,8.94,6,0
66,2,48,83,6.54,2,0
87,3,56,46,8.01,8,1
73,7,48,93,4.57,4,1
54,6,50,71,7.74,8,1
83,3,54,95,6.71,7,1
55,5,63,77,7.52,5,1
71,5,77,73,5.01,10,1
60,2,94,90,8.42,10,1
97,4,74,97,9.18,8,1
65,6,69,80,5.3,9,1
82,2,70,45,4.57,5,0
58,4,88,96,4.14,10,1
55,4,44,59,7.85,5,1
65,8,99,86,7.64,2,1
78,5,83,38,7.28,5,1
52,7,89,93,5.39,3,1
69,1,53,54,6.35,7,0
85,7,92,97,7.57,10,1
68,1,95,88,6.98,5,1
75,3,50,91,9.93,8,1
52,5,48,75,4.82,1,0
68,4,73,37,8.17,3,1
69,6,51,40,6.43,3,1
81,1,74,39,6.57,9,0
56,7,74,39,8.31,5,1
90,4,40,88,8.15,9,1
82,1,79,81,9.95,9,1
89,1,61,83,4.77,1,0
88,8,99,43,4.62,2,1
67,1,68,54,8.35,5,0
89,6,47,95,7.47,4,1
50,5,50,69,5.64,10,1
60,6,80,84,4.48,9,1
77,2,76,96,4.51,7,1
74,4,53,51,9.37,6,1
99,5,99,37,5.15,7,1
72,8,69,66,5.94,1,1
80,5,74,47,5.36,1,1
79,5,60,48,6.13,8,1
91,7,76,45,4.42,2,1
84,5,44,90,7.11,10,1
56,8,58,63,4.41,9,1
65,6,98,43,8.8,7,1
75,5,53,59,5.4,6,1
97,3,65,76,7.24,1,1
98,4,43,43,9.28,1,1
51,5,64,74,7.91,2,1
50,4,84,59,7.2,6,1
97,3,81,39,5.95,6,1
61,3,64,45,6.0,2,0
54,4,57,93,8.02,1,1
86,1,79,72,9.96,10,1
81,2,47,39,7.97,5,0
58,7,78,82,7.35,5,1
90,1,79,52,8.38,2,0
84,1,53,71,6.79,6,0
68,6,71,94,4.36,9,1
97,7,90,82,7.37,2,1
65,7,100,62,9.75,10,1
52,1,77,74,5.05,2,0
69,5,72,79,8.14,3,1
73,6,62,96,5.21,7,1
82,6,54,92,7.21,6,1
73,3,72,90,4.58,8,1
60,8,64,74,6.7,8,1
98,7,56,74,8.54,6,1
57,1,72,67,6.09,10,0
85,3,86,40,7.99,3,1
87,4,94,53,8.77,3,1
89,2,41,74,9.56,1,0
69,8,53,93,5.41,7,1
84,8,92,93,6.4,5,1
97,8,79,82,4.91,4,1
74,6,79,75,9.95,10,1
84,4,90,47,9.56,4,1
74,8,78,79,7.24,4,1
78,4,90,87,9.05,6,1
67,5,45,76,7.13,8,1
95,8,45,97,7.74,8,1
67,2,42,61,4.53,5,0
51,4,46,72,8.53,6,1
84,4,90,94,4.77,4,1
65,2,47,41,8.96,9,0
90,8,81,39,8.69,8,1
85,2,91,79,8.25,10,1
82,4,54,92,4.22,10,1
53,2,86,65,5.82,1,0
82,4,68,57,5.58,2,1
63,4,72,76,6.16,9,1
70,5,91,44,4.53,8,1
97,1,69,66,9.62,3,1
69,4,78,87,7.32,8,1
57,8,66,64,5.83,1,1
56,3,75,73,6.38,10,1
52,6,68,65,6.68,4,1
66,7,77,36,7.6,3,1
82,1,96,46,7.09,6,0
97,1,72,73,9.52,7,1
61,1,100,100,6.98,4,1
100,5,76,47,9.95,7,1
71,4,66,80,9.11,9,1
71,5,94,61,5.25,2,1
95,4,72,51,9.58,3,1
79,8,43,94,4.7,5,1
87,5,61,98,8.9,3,1
87,5,41,69,6.28,8,1
94,6,49,64,9.27,10,1
100,3,44,97,9.21,8,1
57,5,98,62,8.84,8,1
76,6,49,94,8.74,9,1
76,2,72,71,5.83,4,0
83,3,93,56,4.49,5,1
70,8,77,54,6.42,5,1
79,5,52,98,5.04,8,1
82,7,70,51,8.17,7,1
77,1,86,46,6.08,9,0
96,2,75,56,9.85,8,1
82,2,84,51,7.85,2,0
54,8,63,44,8.93,10,1
97,6,91,99,4.8,4,1
68,2,95,56,9.17,6,1
53,3,54,84,9.54,2,1
84,5,68,48,6.92,7,1
98,5,47,98,7.64,3,1
66,7,44,81,8.59,3,1
93,8,68,63,5.05,2,1
77,1,86,70,7.02,8,1
79,6,43,86,6.39,6,1
78,1,51,41,4.88,1,0
95,2,84,63,6.21,1,0
55,8,41,45,4.41,7,1
84,7,66,67,4.15,8,1
90,1,70,40,4.81,5,0
86,3,90,66,9.78,5,1
73,5,90,85,7.3,4,1
78,2,75,92,9.79,6,1
98,7,75,60,6.59,6,1
95,1,65,80,5.87,3,0
80,6,82,63,7.04,9,1
84,3,66,38,6.64,7,0
82,3,44,47,4.63,1,0
70,1,59,73,7.84,7,0
81,5,50,49,5.3,5,1
72,1,49,63,7.72,5,0
82,2,79,63,7.9,2,1
52,1,77,66,4.91,4,0
67,3,45,36,4.37,6,0
74,7,47,81,8.68,10,1
91,1,62,56,6.76,7,0
80,5,86,61,4.35,5,1
52,8,65,90,9.97,9,1
89,7,85,55,4.35,3,1
95,6,82,81,8.17,1,1
73,4,51,93,9.9,4,1
99,1,65,40,5.44,9,0
81,5,52,53,4.85,4,1
96,7,79,91,4.73,2,1
71,5,57,37,5.82,10,1
72,6,64,35,4.61,5,1
51,3,72,92,8.15,3,1
76,5,86,72,4.37,9,1
91,7,79,49,7.06,4,1
51,5,99,68,9.98,6,1
75,5,82,95,8.88,2,1
66,5,51,69,7.69,6,1
89,2,83,98,5.84,3,1
82,2,75,59,7.74,9,1
58,3,87,58,7.16,2,0
92,1,43,46,6.56,9,0
97,5,44,52,4.78,5,1
88,6,95,49,9.32,8,1
78,1,76,61,6.7,2,0
91,6,47,94,5.17,6,1
75,1,81,80,6.21,3,0
84,3,88,51,6.48,10,1
99,5,67,87,8.97,5,1
74,5,70,42,8.4,8,1
73,4,97,61,8.62,10,1
62,6,48,80,4.07,1,1
56,1,93,84,6.5,5,0
85,1,90,37,6.89,3,0
94,8,68,98,4.12,4,1
69,8,53,78,5.56,2,1
50,2,79,87,8.56,9,1
57,4,80,58,4.82,3,0
95,7,61,94,7.21,2,1
65,8,50,37,5.29,10,1
63,7,62,54,4.07,9,1
61,2,40,80,5.45,7,0
100,2,85,49,9.86,6,1
72,2,76,59,8.81,1,0
64,6,60,51,9.76,5,1
77,6,65,43,6.93,3,1
83,3,85,72,4.66,1,1
51,3,75,82,7.29,4,1
81,2,93,94,6.73,2,1
72,4,62,97,9.07,2,1
71,1,96,36,4.59,3,0
100,6,40,45,6.93,8,1
74,4,93,98,4.9,8,1
71,5,94,55,5.95,7,1
71,6,90,52,8.42,6,1
98,6,79,98,6.86,9,1
91,3,54,72,6.26,4,1
55,1,60,66,6.37,1,0
64,1,86,45,6.76,8,0
92,8,48,79,8.71,7,1
86,7,92,67,9.35,7,1
82,7,48,75,9.73,3,1
57,7,49,42,8.72,4,1
93,7,91,45,5.89,10,1
93,5,96,85,8.13,9,1
54,5,92,75,6.63,6,1
88,6,65,51,5.53,5,1
53,2,80,80,9.05,3,1
55,3,74,66,4.23,9,0
94,3,91,88,9.41,5,1
81,7,64,54,6.77,5,1
79,6,65,67,7.82,4,1
96,8,50,74,7.96,4,1
84,4,77,66,9.37,1,1
89,2,41,36,7.82,7,0
65,6,46,67,7.68,9,1
62,2,57,64,4.4,3,0
99,2,66,67,7.11,2,1
91,2,73,60,4.9,3,0
79,6,66,56,8.42,1,1
68,7,56,100,7.07,6,1
66,3,82,72,8.08,7,1
68,3,98,80,4.25,2,1
77,7,83,49,4.51,8,1
75,2,98,78,8.3,6,1
86,4,90,83,4.43,4,1
75,1,93,95,4.43,5,1
72,6,63,40,4.07,8,1
58,1,64,43,9.74,3,0
61,8,46,40,8.43,3,1
50,7,91,66,6.12,4,1
50,4,45,75,5.78,1,0
96,6,92,42,6.1,9,1
83,7,63,84,8.65,8,1
81,2,72,96,7.97,8,1
97,3,88,96,5.11,10,1
74,1,68,41,5.04,6,0
89,5,82,38,4.59,7,1
94,5,61,40,7.96,6,1
50,4,65,92,8.59,9,1
65,2,67,56,5.59,3,0
88,8,89,60,4.13,3,1
54,1,60,37,4.49,3,0
71,2,88,75,9.81,10,1
78,1,46,94,5.77,3,0
52,4,56,48,8.62,9,1
61,4,59,46,7.75,4,1
75,8,80,46,6.29,7,1
65,5,88,47,5.23,9,1
100,2,59,59,4.73,7,0
86,6,93,79,7.69,9,1
71,5,61,53,8.65,3,1
78,2,67,89,7.86,4,1
63,5,100,79,7.18,8,1
